##SAMPLE_ID	Collected tissue sample identification
##TUBE_LABEL	How sample was labeled on storage tube
##SEX	The sex of the bird
##NORM_TUM	Whether sample is characterized as normal or somatic
##TISSUE	Type of collected tissue
##TUMOR_NUM	Number of COLLECTED tumors from bird
##TUMOR_SCORE	Grade of tumor; Scale of 1-3, 3 represents most homologous largest tumor in appearence, interpretation by eye
##COHORT	Experimental cohort
##STORAGE	The storage strategy of tissue based on potential for biological sampling; DNA, RNA, cytogenetics, liquid_nitrogen, immunohistochem
##ANALYSIS	The actual biological tests that have been performed from sample; dna_seq, affy_array, rna_seq, cytogenetics, immunohistochem ,targeted_resequencing
##FILTER	Justification for priority score
###FILTERS:
###filter_1:	All samples that underwent DNA-sequencing from Summer 2014 cohort (plus matching normals)
###filter_2:	All samples that underwent RNA-sequencing from Summer 2014 cohort
###filter_3:	Gonadal tumors with tumor score greater than or equal to 2
###filter_4:	The tumors from birds that possess multiple high quality tumors
###filter_5:	Tumors that have a tumor score of 3 regardless of tissue
###filter_6:	Tumors that have a tumor score of 2 regardless of tissue
###filter_7:	Remaining gonadal tumor samples
###filter_8:	Remaining tumor samples
###filter_9:	Remaining normal samples
#SAMPLE_ID	TUBE_LABEL	SEX	NORM_TUM	TISSUE	TUMOR_NUM	TUMOR_SCORE	COHORT	STORAGE	SAMPLING	FILTER
017936	017936	na	normal	cd4+_T-cell	na	na	summer_2014	rna	rnaseq	2
017939	017939	na	normal	cd4+_T-cell	na	na	summer_2014	rna	rnaseq	2
017945	017945	na	normal	cd4+_T-cell	na	na	summer_2014	rna	rnaseq	2
017947	017947	na	normal	cd4+_T-cell	na	na	summer_2014	rna	rnaseq	2
017766-2	017766-2	male	tumor	gonad	3	2	summer_2014	dna;cyto;rna	cytogenetics;microarrays	3
017780-2	017780-2	female	tumor	gonad	2	2	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	3
017794-2	017794-2	male	tumor	gonad	3	3	summer_2014	dna;cyto;rna	cytogenetics;microarrays	3
017798-2	017798-2	male	tumor	gonad	4	3	summer_2014	dna;cyto;rna	cytogenetics;microarrays	3
017833-2	017833-2	male	tumor	gonad	4	2	summer_2014	dna;cyto;rna	cytogenetics;microarrays	3
017901-1	017901-1	male	tumor	gonad	3	3	summer_2014	dna;rna	na	3
017924-1	017924-1	female	tumor	gonad	1	2	summer_2014	rna	na;targeted_resequencing	3
S004-T_1	na	female	tumor	gonad	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S006-T_1	na	female	tumor	gonad	2	3	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S007-T_2	na	female	tumor	gonad	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S009-T_3	na	female	tumor	gonad	4	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S014-T_1	na	male	tumor	gonad	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S025-T_1	na	male	tumor	gonad	2	3	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S027-T_1	na	female	tumor	gonad	2	3	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S030-T_4	na	female	tumor	gonad	5	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S031-T_1	na	male	tumor	gonad	2	3	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S032-T_1	na	female	tumor	gonad	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S036-T_2	na	female	tumor	gonad	4	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S037-T_2	na	male	tumor	gonad	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S039-T_3	na	female	tumor	gonad	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S040-T_1	na	female	tumor	gonad	5	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S041-T_1	na	male	tumor	gonad	3	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S043-T_1	na	male	tumor	gonad	3	3	summer_2017	liquid_nitrogen	na;targeted_resequencing	3
S043-T_2	na	male	tumor	gonad	3	3	summer_2017	liquid_nitrogen	na	3
S045-T_2	na	female	tumor	gonad	3	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S109-T_2	na	female	tumor	gonad	4	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
S112-T_1	na	female	tumor	gonad	5	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	3
017901-3	017901-3	male	tumor	spleen	3	na	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	4
S009-T_1	na	female	tumor	spleen	4	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	4
S009-T_2	na	female	tumor	heart	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	4
S030-T_1	na	female	tumor	heart	5	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	4
S030-T_2	na	female	tumor	liver	5	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	4
S030-T_3	na	female	tumor	spleen	5	1	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	4
S109-T_1	na	female	tumor	spleen	4	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	4
S109-T_3	na	female	tumor	heart	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	4
017753-1	017753-1	female	tumor	prov	1	3	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	5
017800-1	017800-1	female	tumor	spleen	1	3	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	5
